Indikator,2016,2017,2018,2019,2020,2021,2022,CAGR
Absatz Mobiltelefone/je Kopf in Stück,0.34,0.34,0.34,0.35,0.35,0.35,0.36,0.70%
Absatz Laptops/je Kopf in Stück,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.30%
Absatz Desktop-PCs/je Kopf in Stück,0.02,0.02,0.02,0.02,0.02,0.02,0.02,-2.60%
Umsatz Mobiltelefone/je Kopf in Euro,132.8,136.6,140.2,143.4,146.3,148,149.4,1.90%
Umsatz Laptops/je Kopf in Euro,92.4,91.5,90.6,89.8,88.9,88,87.2,-1.10%
Umsatz Desktop-PCs/je Kopf in Euro,11.1,10.6,10.2,9.8,9.5,9.3,9,-3.80%
Smartphone Penetration/in Prozent,61.1,67.1,71.5,74.5,76.5,77.8,78.6,5.70%
Internet Penetration/in Prozent,80.6,81.4,81.9,82.3,82.5,83,83.4,0.70%
Internetgeschwindigkeit/in Kbits je s,14.802,16.320,18.071,19.528,20.378,20.762,20.912,8.90%
Breitbandanschlüsse/100 Einwohner,38.5,39.9,41.2,42.6,44,45.3,46.7,3.30%
Konsumausgaben/je Kopf in Euro,22.786,22.999,23.224,23.451,23.679,23.911,24.144,0.90%
BIP/je Kopf in Euro,37.943,37.346,38.209,39.274,40.447,41.529,42.570,1.90%
Haushalte/in Millionen,38.9,38.9,38.8,38.8,38.7,38.7,38.7,-0.10%
Bevölkerung/in Millionen,82.6,82.6,82.7,82.7,82.7,82.7,82.7,0.20%
